timestep,kernel_size,kernel_size_through_layers,num_layers,out_layers,accuracy_train,loss_train,accuracy_test
3,0.2,keep_same,2,keep_length,"[0.71875, 0.609375, 0.671875, 0.671875, 0.59375, 0.609375, 0.734375, 0.59375, 0.671875, 0.6875, 0.71875, 0.6875, 0.5625, 0.75, 0.6875, 0.625, 0.5625, 0.625, 0.625, 0.640625, 0.703125, 0.71875, 0.65625, 0.640625, 0.625, 0.6875, 0.734375, 0.765625, 0.65625, 0.703125, 0.6875, 0.625, 0.703125, 0.75, 0.59375, 0.671875, 0.671875, 0.625, 0.625, 0.671875, 0.6875, 0.65625, 0.625, 0.78125, 0.609375, 0.609375, 0.671875, 0.734375, 0.65625, 0.703125, 0.640625, 0.6875, 0.640625, 0.734375, 0.625, 0.71875, 0.828125, 0.71875, 0.625, 0.65625, 0.703125, 0.703125, 0.625, 0.671875, 0.671875, 0.65625, 0.703125, 0.609375, 0.71875, 0.71875, 0.671875, 0.640625, 0.703125, 0.578125]","[0.6202569603919983, 0.6301465630531311, 0.5898773670196533, 0.6047335267066956, 0.6173177361488342, 0.613840639591217, 0.5826479196548462, 0.6146700382232666, 0.5642890334129333, 0.6087233424186707, 0.5714823007583618, 0.5626809597015381, 0.6532216668128967, 0.5829148888587952, 0.5596523880958557, 0.6302230954170227, 0.6478749513626099, 0.6299368143081665, 0.60074383020401, 0.6254818439483643, 0.5656083226203918, 0.5924661755561829, 0.5906991362571716, 0.6079489588737488, 0.5896820425987244, 0.6103628873825073, 0.582659125328064, 0.5671704411506653, 0.5997462868690491, 0.5899382829666138, 0.6026571989059448, 0.6623203754425049, 0.5535997748374939, 0.5813624262809753, 0.6676632761955261, 0.5714028477668762, 0.5784321427345276, 0.6073687076568604, 0.5681930780410767, 0.5859147906303406, 0.5989730954170227, 0.5917401313781738, 0.619998037815094, 0.5250442624092102, 0.6154372096061707, 0.6312628984451294, 0.6098432540893555, 0.5436848402023315, 0.6130662560462952, 0.5680353045463562, 0.5951269268989563, 0.5504549741744995, 0.5946963429450989, 0.6181574463844299, 0.5985799431800842, 0.5240864157676697, 0.5534201264381409, 0.6122905015945435, 0.619106113910675, 0.6100349426269531, 0.5772149562835693, 0.5811843872070312, 0.5628029704093933, 0.6329678297042847, 0.627697229385376, 0.5968083739280701, 0.5055252313613892, 0.6184294819831848, 0.5761869549751282, 0.5705726742744446, 0.6054064035415649, 0.5950640439987183, 0.5994196534156799, 0.6232916116714478]",70.07874015748031
3,0.2,keep_same,2,decrease,"[0.46875, 0.625, 0.703125, 0.71875, 0.71875, 0.71875, 0.6875, 0.625, 0.703125, 0.65625, 0.734375, 0.734375, 0.796875, 0.71875, 0.703125, 0.703125, 0.6875, 0.765625, 0.65625, 0.71875, 0.703125, 0.671875, 0.703125, 0.65625, 0.703125, 0.765625, 0.703125, 0.703125, 0.6875, 0.734375, 0.671875, 0.6875, 0.5625, 0.71875, 0.671875, 0.703125, 0.703125, 0.6875, 0.65625, 0.703125, 0.78125, 0.703125, 0.6875, 0.765625, 0.71875, 0.734375, 0.640625, 0.625, 0.6875, 0.671875, 0.703125, 0.6875, 0.734375, 0.703125, 0.765625, 0.703125, 0.71875, 0.765625, 0.625, 0.625, 0.640625, 0.78125, 0.703125, 0.703125, 0.734375, 0.734375, 0.6875, 0.703125, 0.53125, 0.671875, 0.640625, 0.671875, 0.609375, 0.671875]","[0.7028073072433472, 0.6378360986709595, 0.6110787987709045, 0.602880597114563, 0.6059068441390991, 0.5915196537971497, 0.6056169867515564, 0.6309757232666016, 0.5727739930152893, 0.6148414611816406, 0.5849648714065552, 0.5657604932785034, 0.5399186611175537, 0.5628677606582642, 0.5861389636993408, 0.56540447473526, 0.5638526082038879, 0.57426917552948, 0.6107863187789917, 0.5747992396354675, 0.6007252335548401, 0.6189593076705933, 0.5743847489356995, 0.6488260626792908, 0.6028439998626709, 0.5747388601303101, 0.5794684886932373, 0.6001501679420471, 0.5632380843162537, 0.5613019466400146, 0.6249772310256958, 0.564233660697937, 0.644642174243927, 0.5493395328521729, 0.5854926109313965, 0.6138907670974731, 0.5820169448852539, 0.6162406206130981, 0.6133485436439514, 0.5945746302604675, 0.5559595227241516, 0.5580759048461914, 0.5525240302085876, 0.5591044425964355, 0.5982675552368164, 0.5716459155082703, 0.618832528591156, 0.6035248041152954, 0.5891989469528198, 0.6345441341400146, 0.5983471870422363, 0.5759539604187012, 0.5619229674339294, 0.5796216726303101, 0.5472494959831238, 0.5258654952049255, 0.5813613533973694, 0.5817023515701294, 0.6258531808853149, 0.6047797203063965, 0.6030331254005432, 0.561003565788269, 0.6223618388175964, 0.6233642101287842, 0.578027606010437, 0.6180025935173035, 0.5804367065429688, 0.5965512990951538, 0.6617697477340698, 0.5838407874107361, 0.6198456883430481, 0.5833109021186829, 0.6021131277084351, 0.6112630367279053]",67.71653543307086
3,0.2,keep_same,2,increase,"[0.515625, 0.671875, 0.609375, 0.65625, 0.6875, 0.65625, 0.671875, 0.703125, 0.671875, 0.75, 0.6875, 0.640625, 0.734375, 0.640625, 0.71875, 0.609375, 0.6875, 0.609375, 0.671875, 0.671875, 0.671875, 0.71875, 0.71875, 0.625, 0.65625, 0.6875, 0.640625, 0.625, 0.71875, 0.640625, 0.703125, 0.671875, 0.765625, 0.703125, 0.703125, 0.625, 0.703125, 0.59375, 0.6875, 0.71875, 0.65625, 0.6875, 0.625, 0.6875, 0.6875, 0.65625, 0.6875, 0.640625, 0.65625, 0.71875, 0.625, 0.640625, 0.703125, 0.640625, 0.703125, 0.640625, 0.59375, 0.6875, 0.703125, 0.703125, 0.6875, 0.734375, 0.609375, 0.734375, 0.6875, 0.703125, 0.703125, 0.703125, 0.671875, 0.640625, 0.6875, 0.625, 0.703125, 0.59375]","[0.6784631013870239, 0.5802340507507324, 0.5964459180831909, 0.6030561923980713, 0.5881079435348511, 0.6040199398994446, 0.5836817622184753, 0.5760578513145447, 0.5876167416572571, 0.5569669008255005, 0.5801043510437012, 0.6249654293060303, 0.6048218011856079, 0.590921938419342, 0.5672765374183655, 0.64769047498703, 0.6078683137893677, 0.6242277026176453, 0.5968484878540039, 0.5998942255973816, 0.5560749173164368, 0.5850212574005127, 0.5587050318717957, 0.6537730693817139, 0.6268148422241211, 0.5982823967933655, 0.6315836906433105, 0.5895759463310242, 0.5828945636749268, 0.6238449811935425, 0.5567728877067566, 0.608201801776886, 0.5655383467674255, 0.5795906186103821, 0.5979162454605103, 0.5747578144073486, 0.5840743780136108, 0.6540356874465942, 0.5955491662025452, 0.562164306640625, 0.5929697751998901, 0.6147919297218323, 0.6131806969642639, 0.5631184577941895, 0.584835410118103, 0.5969085693359375, 0.6098641157150269, 0.5769092440605164, 0.5573192834854126, 0.6030089259147644, 0.6017856597900391, 0.6192333698272705, 0.5425697565078735, 0.6353999376296997, 0.5606609582901001, 0.6165977716445923, 0.6451871991157532, 0.6083914041519165, 0.5919516682624817, 0.5451793670654297, 0.5827577114105225, 0.5155811309814453, 0.5726121664047241, 0.5367662906646729, 0.5869308114051819, 0.5726962089538574, 0.5923392176628113, 0.5707142353057861, 0.6056077480316162, 0.5927197337150574, 0.5927853584289551, 0.6170269250869751, 0.5946530699729919, 0.6186107397079468]",65.35433070866142
3,0.2,keep_same,3,keep_length,"[0.59375, 0.640625, 0.6875, 0.703125, 0.734375, 0.71875, 0.640625, 0.6875, 0.6875, 0.703125, 0.65625, 0.625, 0.625, 0.671875, 0.765625, 0.609375, 0.671875, 0.703125, 0.71875, 0.640625, 0.71875, 0.796875, 0.671875, 0.609375, 0.703125, 0.625, 0.65625, 0.734375, 0.703125, 0.6875, 0.71875, 0.640625, 0.609375, 0.578125, 0.703125, 0.65625, 0.65625, 0.71875, 0.65625, 0.640625, 0.734375, 0.703125, 0.6875, 0.578125, 0.609375, 0.6875, 0.671875, 0.6875, 0.703125, 0.6875, 0.6875, 0.71875, 0.59375, 0.734375, 0.65625, 0.59375, 0.65625, 0.6875, 0.65625, 0.671875, 0.6875, 0.75, 0.6875, 0.625, 0.671875, 0.6875, 0.6875, 0.671875, 0.6875, 0.765625, 0.6875, 0.6875, 0.671875, 0.734375]","[0.687330961227417, 0.6371780633926392, 0.619313657283783, 0.6072307229042053, 0.5724433064460754, 0.575124204158783, 0.6079955697059631, 0.6093827486038208, 0.5442584753036499, 0.5850663185119629, 0.621717631816864, 0.6253280639648438, 0.6273002028465271, 0.6048458814620972, 0.5377867221832275, 0.6006441116333008, 0.5773329138755798, 0.5995460748672485, 0.5496482253074646, 0.5904739499092102, 0.5998421907424927, 0.5212153196334839, 0.596280574798584, 0.6161614656448364, 0.6185186505317688, 0.6189664602279663, 0.5930800437927246, 0.5609372854232788, 0.602537214756012, 0.5908595323562622, 0.5673706531524658, 0.6184872984886169, 0.6229016184806824, 0.6431804895401001, 0.5909783244132996, 0.6192072033882141, 0.5632518529891968, 0.5582135319709778, 0.5972307324409485, 0.597391664981842, 0.5554898977279663, 0.5792218446731567, 0.5563153028488159, 0.6460249423980713, 0.6178115606307983, 0.5875425338745117, 0.6022166013717651, 0.5967268943786621, 0.5214017033576965, 0.5796775817871094, 0.5913133025169373, 0.5700405240058899, 0.6383581161499023, 0.552560567855835, 0.6058352589607239, 0.6225005984306335, 0.5845597386360168, 0.5998894572257996, 0.5884501338005066, 0.6076804399490356, 0.5658733248710632, 0.5334797501564026, 0.564079761505127, 0.6238760352134705, 0.6112965941429138, 0.5970284938812256, 0.586295485496521, 0.5995402932167053, 0.6178323030471802, 0.5432906746864319, 0.6177539229393005, 0.6182201504707336, 0.5901193618774414, 0.5544995069503784]",70.86614173228347
3,0.2,keep_same,3,decrease,"[0.34375, 0.4375, 0.671875, 0.734375, 0.71875, 0.6875, 0.734375, 0.6875, 0.71875, 0.6875, 0.65625, 0.71875, 0.703125, 0.703125, 0.671875, 0.703125, 0.6875, 0.71875, 0.640625, 0.671875, 0.75, 0.640625, 0.65625, 0.78125, 0.65625, 0.625, 0.65625, 0.6875, 0.640625, 0.65625, 0.734375, 0.78125, 0.75, 0.734375, 0.765625, 0.71875, 0.75, 0.6875, 0.703125, 0.6875, 0.65625, 0.71875, 0.640625, 0.71875, 0.796875, 0.75, 0.734375, 0.75, 0.71875, 0.65625, 0.75, 0.703125, 0.65625, 0.671875, 0.671875, 0.6875, 0.65625, 0.6875, 0.734375, 0.78125, 0.78125, 0.703125, 0.78125, 0.6875, 0.703125, 0.734375, 0.703125, 0.65625, 0.765625, 0.6875, 0.8125, 0.734375, 0.78125, 0.765625]","[0.7207254767417908, 0.68768310546875, 0.6566371321678162, 0.6117010712623596, 0.5680068135261536, 0.6331011056900024, 0.6014742255210876, 0.5854179859161377, 0.5868431925773621, 0.5680471658706665, 0.6176881790161133, 0.5588884949684143, 0.5721130967140198, 0.6201152205467224, 0.5847626328468323, 0.5615142583847046, 0.6110554933547974, 0.5779930949211121, 0.6222551465034485, 0.6071538329124451, 0.5508299469947815, 0.6237857341766357, 0.6049878001213074, 0.5577529668807983, 0.5907498002052307, 0.5895524621009827, 0.6116492748260498, 0.6000174880027771, 0.6520698666572571, 0.5864486694335938, 0.5798879861831665, 0.5641888976097107, 0.5592641234397888, 0.5589444637298584, 0.5255122184753418, 0.594984233379364, 0.5798215270042419, 0.573455810546875, 0.5808553099632263, 0.5904443860054016, 0.6504138708114624, 0.568919837474823, 0.5856763124465942, 0.556859016418457, 0.5586409568786621, 0.5715190768241882, 0.5997136235237122, 0.5617021322250366, 0.6208872199058533, 0.6071751713752747, 0.5647567510604858, 0.576764702796936, 0.5965105295181274, 0.610860288143158, 0.605640172958374, 0.5658869743347168, 0.6064080595970154, 0.6139268279075623, 0.5894002914428711, 0.5414272546768188, 0.5374679565429688, 0.5713071823120117, 0.5896756052970886, 0.6052048206329346, 0.5994849801063538, 0.5501673221588135, 0.5777173638343811, 0.5980978012084961, 0.5819567441940308, 0.5845672488212585, 0.5417243242263794, 0.6032542586326599, 0.5775772333145142, 0.5621933937072754]",65.35433070866142
3,0.2,keep_same,3,increase,"[0.59375, 0.71875, 0.640625, 0.6875, 0.640625, 0.609375, 0.640625, 0.65625, 0.6875, 0.71875, 0.703125, 0.6875, 0.65625, 0.734375, 0.671875, 0.515625, 0.671875, 0.640625, 0.65625, 0.703125, 0.71875, 0.65625, 0.625, 0.671875, 0.640625, 0.640625, 0.640625, 0.65625, 0.671875, 0.703125, 0.734375, 0.65625, 0.6875, 0.625, 0.671875, 0.6875, 0.703125, 0.578125, 0.71875, 0.734375, 0.703125, 0.640625, 0.625, 0.734375, 0.640625, 0.671875, 0.734375, 0.734375, 0.65625, 0.71875, 0.71875, 0.703125, 0.71875, 0.65625, 0.625, 0.6875, 0.6875, 0.734375, 0.71875, 0.734375, 0.671875, 0.75, 0.734375, 0.75, 0.703125, 0.734375, 0.671875, 0.671875, 0.625, 0.734375, 0.578125, 0.75, 0.671875, 0.765625]","[0.6814945340156555, 0.5725075006484985, 0.6053517460823059, 0.5893279910087585, 0.6274304986000061, 0.6427901983261108, 0.5935345888137817, 0.6184296607971191, 0.5936981439590454, 0.5924432873725891, 0.5931394100189209, 0.60970139503479, 0.587565541267395, 0.5730751752853394, 0.5984042286872864, 0.6589601635932922, 0.5759992599487305, 0.5983127355575562, 0.604117751121521, 0.5549614429473877, 0.5885189771652222, 0.5925476551055908, 0.610279381275177, 0.5950555801391602, 0.5888243913650513, 0.5938170552253723, 0.6525514125823975, 0.6096929907798767, 0.5985089540481567, 0.5917487740516663, 0.559179961681366, 0.6206420660018921, 0.6037998795509338, 0.6599189639091492, 0.584840714931488, 0.6284315586090088, 0.576187252998352, 0.646651566028595, 0.5987731218338013, 0.5511986613273621, 0.5899033546447754, 0.6316251754760742, 0.6145704984664917, 0.5301603078842163, 0.5870449542999268, 0.57546067237854, 0.5657603740692139, 0.5429449677467346, 0.5858858227729797, 0.5502351522445679, 0.5882233381271362, 0.5618477463722229, 0.5900182127952576, 0.5631020665168762, 0.5771079063415527, 0.5745434165000916, 0.6166616678237915, 0.5414526462554932, 0.6009457111358643, 0.5866965055465698, 0.60848069190979, 0.537875235080719, 0.5813957452774048, 0.5352906584739685, 0.5468276739120483, 0.5871885418891907, 0.5801499485969543, 0.5839900970458984, 0.6358287334442139, 0.5805476903915405, 0.6486226916313171, 0.5385531187057495, 0.6001482605934143, 0.5501176714897156]",68.50393700787401
3,0.2,keep_same,4,keep_length,"[0.390625, 0.625, 0.765625, 0.796875, 0.65625, 0.625, 0.6875, 0.65625, 0.546875, 0.640625, 0.734375, 0.625, 0.703125, 0.671875, 0.625, 0.578125, 0.609375, 0.5625, 0.640625, 0.6875, 0.609375, 0.59375, 0.65625, 0.640625, 0.671875, 0.578125, 0.609375, 0.640625, 0.65625, 0.6875, 0.703125, 0.71875, 0.65625, 0.65625, 0.640625, 0.703125, 0.609375, 0.625, 0.71875, 0.71875, 0.609375, 0.703125, 0.671875, 0.671875, 0.65625, 0.703125, 0.640625, 0.609375, 0.640625, 0.640625, 0.671875, 0.6875, 0.71875, 0.6875, 0.609375, 0.734375, 0.625, 0.578125, 0.640625, 0.625, 0.609375, 0.71875, 0.65625, 0.6875, 0.65625, 0.5625, 0.546875, 0.75, 0.71875, 0.6875, 0.703125, 0.703125, 0.546875, 0.625]","[0.7007737755775452, 0.6511406898498535, 0.594467043876648, 0.5767479538917542, 0.6179165244102478, 0.5944652557373047, 0.5936225652694702, 0.6179388165473938, 0.6249237656593323, 0.6111436486244202, 0.5772550106048584, 0.6459405422210693, 0.5618835091590881, 0.5846195816993713, 0.6143097281455994, 0.628496527671814, 0.6015665531158447, 0.6260112524032593, 0.5916374921798706, 0.5555160641670227, 0.6355968117713928, 0.6490881443023682, 0.5904183983802795, 0.6035776734352112, 0.567596435546875, 0.6287100911140442, 0.6177138090133667, 0.6079879999160767, 0.572740912437439, 0.5604771971702576, 0.595564603805542, 0.5794668197631836, 0.5650290250778198, 0.6151213645935059, 0.5885207056999207, 0.5976442694664001, 0.629183828830719, 0.5848669409751892, 0.5769617557525635, 0.5563341975212097, 0.6222057342529297, 0.5750421285629272, 0.5741631984710693, 0.6149211525917053, 0.578150749206543, 0.5795881748199463, 0.59237140417099, 0.6181058287620544, 0.611066997051239, 0.6018205285072327, 0.5779765844345093, 0.5843785405158997, 0.5409021973609924, 0.6194146275520325, 0.6313232779502869, 0.5805206298828125, 0.6006253361701965, 0.627795934677124, 0.6169927716255188, 0.6359672546386719, 0.5733743906021118, 0.579777717590332, 0.5942404270172119, 0.6021773815155029, 0.5521131753921509, 0.6510310173034668, 0.6069074869155884, 0.5544791221618652, 0.575864315032959, 0.5808398127555847, 0.5873426795005798, 0.6001409292221069, 0.6752802729606628, 0.5976884961128235]",66.14173228346456
3,0.2,keep_same,4,decrease,"[0.421875, 0.6875, 0.65625, 0.578125, 0.703125, 0.6875, 0.765625, 0.6875, 0.65625, 0.71875, 0.671875, 0.796875, 0.65625, 0.6875, 0.703125, 0.71875, 0.640625, 0.71875, 0.75, 0.671875, 0.765625, 0.703125, 0.703125, 0.75, 0.734375, 0.640625, 0.703125, 0.65625, 0.75, 0.703125, 0.75, 0.734375, 0.625, 0.75, 0.703125, 0.671875, 0.71875, 0.703125, 0.6875, 0.703125, 0.71875, 0.8125, 0.6875, 0.703125, 0.703125, 0.6875, 0.765625, 0.71875, 0.6875, 0.78125, 0.75, 0.640625, 0.78125, 0.71875, 0.71875, 0.671875, 0.640625, 0.703125, 0.703125, 0.78125, 0.78125, 0.71875, 0.65625, 0.703125, 0.75, 0.671875, 0.75, 0.734375, 0.78125, 0.75, 0.765625, 0.765625, 0.6875, 0.71875]","[0.7008495926856995, 0.665361225605011, 0.6636927723884583, 0.672562837600708, 0.6097403764724731, 0.6057227253913879, 0.5816069841384888, 0.6245471835136414, 0.5982661247253418, 0.5884009003639221, 0.5957968235015869, 0.5547261834144592, 0.6037545800209045, 0.6245983839035034, 0.5927190780639648, 0.5632743239402771, 0.6281838417053223, 0.5710865259170532, 0.5792635083198547, 0.6077703237533569, 0.5420212745666504, 0.5894256234169006, 0.5725424885749817, 0.5657247304916382, 0.5833613276481628, 0.6274083256721497, 0.5965376496315002, 0.6239936947822571, 0.5639681220054626, 0.6046183109283447, 0.5622092485427856, 0.5901035666465759, 0.6475601196289062, 0.5867170691490173, 0.6010646820068359, 0.5781673192977905, 0.5799977779388428, 0.5758573412895203, 0.6083700060844421, 0.6034156084060669, 0.6329858303070068, 0.5394514203071594, 0.565366804599762, 0.5733828544616699, 0.5900393724441528, 0.6060751676559448, 0.5795149207115173, 0.5679499506950378, 0.6125281453132629, 0.5597580671310425, 0.5871854424476624, 0.6163164377212524, 0.5297719240188599, 0.5749765634536743, 0.5910792350769043, 0.6116656064987183, 0.6204472184181213, 0.6365764737129211, 0.5944404602050781, 0.5483477115631104, 0.5552743077278137, 0.5739457011222839, 0.651027500629425, 0.6217645406723022, 0.602973461151123, 0.5856161117553711, 0.5886542797088623, 0.5632360577583313, 0.5715377926826477, 0.5176274180412292, 0.6288699507713318, 0.566633403301239, 0.5485579371452332, 0.5843560099601746]",64.56692913385827
3,0.2,keep_same,4,increase,"[0.546875, 0.640625, 0.59375, 0.625, 0.734375, 0.640625, 0.6875, 0.734375, 0.671875, 0.765625, 0.6875, 0.6875, 0.640625, 0.640625, 0.640625, 0.734375, 0.640625, 0.703125, 0.625, 0.59375, 0.6875, 0.625, 0.6875, 0.609375, 0.65625, 0.671875, 0.703125, 0.625, 0.65625, 0.71875, 0.765625, 0.671875, 0.671875, 0.671875, 0.640625, 0.625, 0.6875, 0.703125, 0.65625, 0.6875, 0.703125, 0.625, 0.609375, 0.6875, 0.703125, 0.65625, 0.734375, 0.6875, 0.578125, 0.625, 0.75, 0.734375, 0.640625, 0.75, 0.78125, 0.6875, 0.765625, 0.78125, 0.71875, 0.703125, 0.625, 0.65625, 0.734375, 0.75, 0.671875, 0.71875, 0.71875, 0.71875, 0.703125, 0.703125, 0.6875, 0.6875, 0.734375, 0.71875]","[0.6926324963569641, 0.5963362455368042, 0.6200542449951172, 0.6185990571975708, 0.582360029220581, 0.628550112247467, 0.5967057943344116, 0.5707850456237793, 0.5918918251991272, 0.5840641260147095, 0.5274685025215149, 0.603105366230011, 0.594599187374115, 0.5863724946975708, 0.6310279965400696, 0.6026479005813599, 0.5959700345993042, 0.5899883508682251, 0.6065098643302917, 0.6386426091194153, 0.6430390477180481, 0.6079890131950378, 0.5804111361503601, 0.6422900557518005, 0.5878695249557495, 0.6318965554237366, 0.5701929926872253, 0.6100969910621643, 0.5721638798713684, 0.6067663431167603, 0.5451681017875671, 0.589938759803772, 0.6166481971740723, 0.5541980266571045, 0.6019904613494873, 0.6259249448776245, 0.6134194731712341, 0.5537168383598328, 0.6113126873970032, 0.6315288543701172, 0.5798851251602173, 0.6540143489837646, 0.6224825978279114, 0.5775065422058105, 0.6009736061096191, 0.5912246108055115, 0.5542656779289246, 0.6229963898658752, 0.6265475153923035, 0.5824034810066223, 0.566245436668396, 0.5208480358123779, 0.6550528407096863, 0.5789685845375061, 0.5088357329368591, 0.5685814023017883, 0.5028604865074158, 0.5268168449401855, 0.5880169868469238, 0.5742175579071045, 0.5958088636398315, 0.6235963702201843, 0.5254866480827332, 0.5029366612434387, 0.5832435488700867, 0.5254670977592468, 0.5720723867416382, 0.5882940292358398, 0.6124772429466248, 0.5785455703735352, 0.5716937780380249, 0.5880714058876038, 0.4780566096305847, 0.5057709813117981]",67.71653543307086
3,0.2,increase,2,keep_length,"[0.578125, 0.609375, 0.640625, 0.59375, 0.671875, 0.65625, 0.734375, 0.703125, 0.71875, 0.6875, 0.71875, 0.765625, 0.671875, 0.75, 0.671875, 0.5625, 0.625, 0.671875, 0.609375, 0.625, 0.609375, 0.625, 0.625, 0.65625, 0.6875, 0.65625, 0.640625, 0.609375, 0.65625, 0.703125, 0.734375, 0.65625, 0.671875, 0.65625, 0.703125, 0.578125, 0.703125, 0.625, 0.71875, 0.734375, 0.65625, 0.625, 0.703125, 0.65625, 0.59375, 0.703125, 0.703125, 0.71875, 0.703125, 0.6875, 0.6875, 0.71875, 0.703125, 0.609375, 0.640625, 0.59375, 0.625, 0.625, 0.609375, 0.59375, 0.765625, 0.625, 0.75, 0.59375, 0.703125, 0.578125, 0.765625, 0.6875, 0.625, 0.65625, 0.6875, 0.671875, 0.6875, 0.6875]","[0.6940584778785706, 0.6370059847831726, 0.6405797004699707, 0.667944073677063, 0.5679965615272522, 0.6084656715393066, 0.5625655055046082, 0.5665205121040344, 0.608222484588623, 0.5971575379371643, 0.6063302159309387, 0.5524665713310242, 0.6074783205986023, 0.5772436857223511, 0.5948434472084045, 0.6183242201805115, 0.6117703914642334, 0.6039460897445679, 0.6317030191421509, 0.5896823406219482, 0.6114870309829712, 0.6260334253311157, 0.6451639533042908, 0.6050779223442078, 0.5799818634986877, 0.5930435061454773, 0.6212330460548401, 0.620057225227356, 0.6394948959350586, 0.596890389919281, 0.5763900279998779, 0.6258383989334106, 0.5878065824508667, 0.5731045603752136, 0.5503073334693909, 0.6672061085700989, 0.5846700668334961, 0.5883384943008423, 0.6149960160255432, 0.5984403491020203, 0.5970462560653687, 0.6088929176330566, 0.5988934636116028, 0.5992893576622009, 0.5823787450790405, 0.5530142188072205, 0.5922356247901917, 0.5933907628059387, 0.5802960395812988, 0.5953431725502014, 0.5416157841682434, 0.5820655822753906, 0.5919512510299683, 0.6503634452819824, 0.6211310029029846, 0.6034804582595825, 0.6475139856338501, 0.6046090126037598, 0.6208223104476929, 0.6370264291763306, 0.5443511009216309, 0.6166602969169617, 0.5762874484062195, 0.6548741459846497, 0.5532058477401733, 0.6045454740524292, 0.548913300037384, 0.5895712375640869, 0.6418856382369995, 0.6071375012397766, 0.6001476645469666, 0.5999529957771301, 0.6157494187355042, 0.5829344987869263]",69.29133858267717
